[2025-12-28 16:38:38] Event: ticket.assigned | {"ticket_id":1,"to":"mansoorshah@live.com"}
[2025-12-28 16:48:24] Event: ticket.assigned | {"ticket_id":103,"to":"abcd.efgh@live.com"}
[2025-12-28 16:51:29] Event: ticket.assigned | {"ticket_id":103,"to":"mansoorshah@live.com"}
[2025-12-28 16:54:54] Event: ticket.assigned | {"ticket_id":3,"to":"mansoorshah@live.com"}
[2025-12-28 17:07:40] Event: ticket.assigned | {"ticket_id":3,"to":"user4@ticketflow.local"}
[2025-12-28 17:07:44] Event: ticket.assigned | {"ticket_id":3,"to":"mansoorshah@live.com"}
[2025-12-28 17:09:36] Event: ticket.assigned | {"ticket_id":3,"to":"user4@ticketflow.local"}
[2025-12-28 17:18:09] Event: ticket.assigned | {"ticket_id":3,"to":"abcd.efgh@live.com"}
[2025-12-28 17:18:11] MailerSend API error | {"response":"{\"message\":\"You have reached trial account unique recipients limit. #MS42225\",\"errors\":{\"to\":[\"You have reached trial account unique recipients limit. #MS42225\"]}}"}
[2025-12-28 17:18:11] Email template missing | {"template":"ticket_unassigned"}
[2025-12-28 17:18:14] Event: ticket.assigned | {"ticket_id":3,"to":"mansoorshah@live.com"}
[2025-12-28 17:18:15] Email sent via MailerSend | {"to":"mansoorshah@live.com"}
[2025-12-28 17:18:15] Email template missing | {"template":"ticket_unassigned"}
[2025-12-28 16:51:51] Event: ticket.assigned | {"ticket_id":2,"to":"mansoorshah@live.com"}
[2025-12-28 16:51:51] Email sent via MailerSend | {"to":"mansoorshah@live.com"}
[2025-12-28 16:51:51] Email template missing | {"template":"ticket_unassigned"}
[2025-12-28 16:54:19] Email template missing | {"template":"ticket_priority_changed"}
[2025-12-28 16:54:22] Email template missing | {"template":"ticket_status_changed"}
[2025-12-28 16:54:26] Event: ticket.assigned | {"ticket_id":103,"to":"user6@ticketflow.local"}
[2025-12-28 16:54:26] MailerSend API error | {"response":"{\"message\":\"You have reached trial account unique recipients limit. #MS42225\",\"errors\":{\"to\":[\"You have reached trial account unique recipients limit. #MS42225\"]}}"}
[2025-12-28 16:54:26] Email template missing | {"template":"ticket_unassigned"}
[2025-12-28 16:54:29] Event: ticket.assigned | {"ticket_id":103,"to":"mansoorshah@live.com"}
[2025-12-28 16:54:30] Email sent via MailerSend | {"to":"mansoorshah@live.com"}
[2025-12-28 16:54:30] Email template missing | {"template":"ticket_unassigned"}
[2025-12-28 17:26:48] Event: ticket.assigned | {"ticket_id":102,"to":"abcd.efgh@live.com"}
[2025-12-28 17:26:48] MailerSend API error | {"response":"{\"message\":\"You have reached trial account unique recipients limit. #MS42225\",\"errors\":{\"to\":[\"You have reached trial account unique recipients limit. #MS42225\"]}}"}
[2025-12-28 17:26:48] Email template missing | {"template":"ticket_unassigned"}
[2025-12-28 17:26:55] Event: ticket.assigned | {"ticket_id":107,"to":"abcd.efgh@live.com"}
[2025-12-28 17:26:55] MailerSend API error | {"response":"{\"message\":\"You have reached trial account unique recipients limit. #MS42225\",\"errors\":{\"to\":[\"You have reached trial account unique recipients limit. #MS42225\"]}}"}
[2025-12-28 17:26:55] Email template missing | {"template":"ticket_unassigned"}
[2025-12-28 17:27:04] Event: ticket.assigned | {"ticket_id":108,"to":"user5@ticketflow.local"}
[2025-12-28 17:27:04] MailerSend API error | {"response":"{\"message\":\"You have reached trial account unique recipients limit. #MS42225\",\"errors\":{\"to\":[\"You have reached trial account unique recipients limit. #MS42225\"]}}"}
[2025-12-28 17:27:04] Email template missing | {"template":"ticket_unassigned"}
[2025-12-28 17:27:40] Event: ticket.assigned | {"ticket_id":138,"to":"mansoorshah@live.com"}
